A000004,1,[]
A000007,Sn,[1]
A000012,-Sn + 1,[1]
A000172,(-n^2 - 4*n - 4)*Sn^2 + (7*n^2 + 21*n + 16)*Sn + 8*n^2 + 16*n + 8,[1, 2]
A000179,(-4*n + 1)*Sn^4 + (4*n^2 + 14*n - 5)*Sn^3 + (n^2 + 11*n + 1)*Sn^2 + (-3*n^2 + 4*n + 3)*Sn - 3*n + 3,[1, 0, 0, 1]
A000180,-Sn^2 + (3*n + 5)*Sn + 3*n + 3,[1, 2]
A000184,(n^2 + n)*Sn^2 + (-8*n^2 - 14*n)*Sn + 16*n^2 + 40*n + 24,[2, 22]
A000202,-Sn^9 + Sn^8 + Sn - 1,[1, 3, 4, 6, 8, 9, 11, 12, 14]
A000204,-Sn^2 + Sn + 1,[1, 3]
A000211,-Sn^3 + 2*Sn^2 - 1,[4, 3, 5]
A000212,-Sn^5 + 2*Sn^4 - Sn^3 + Sn^2 - 2*Sn + 1,[0, 0, 1, 3, 5]
A000213,-Sn^3 + Sn^2 + Sn + 1,[1, 1, 1]
A000216,-Sn^9 + Sn,[2, 4, 16, 37, 58, 89, 145, 42, 20]
A000218,-Sn^13 + Sn^5,[3, 9, 81, 65, 61, 37, 58, 89, 145, 42, 20, 4, 16]
A000221,-Sn^12 + Sn^4,[5, 25, 29, 85, 89, 145, 42, 20, 4, 16, 37, 58]
A000222,-2*Sn^6 + (2*n + 7)*Sn^5 + (5*n + 18)*Sn^4 + (6*n + 15)*Sn^3 + (5*n + 7)*Sn^2 + (2*n + 3)*Sn + 2,[0, 0, 1, 3, 6, 38]
A000225,Sn^2 - 3*Sn + 2,[0, 1]
A000240,(-n - 1)*Sn^2 + (n^2 + 2*n)*Sn + n^2 + 3*n + 2,[1, 0]
A000244,-Sn + 3,[1]
A000246,-Sn^2 + Sn + n^2 + n,[1, 1]
A000247,(n + 1)*Sn^2 + (-3*n - 4)*Sn + 2*n + 4,[0, 3]
A000253,Sn^4 - 4*Sn^3 + 5*Sn^2 - 3*Sn + 2,[0, 1, 4, 11]
A000254,-Sn^2 + (2*n + 3)*Sn - n^2 - 2*n - 1,[0, 1]
A000255,-Sn^2 + (n + 2)*Sn + n + 1,[1, 1]
A000260,(-27*n^3 - 135*n^2 - 222*n - 120)*Sn + 256*n^3 + 640*n^2 + 496*n + 120,[1]
A000261,-Sn^2 + (n + 2)*Sn + n - 1,[0, 1]
A000262,-Sn^2 + (2*n + 3)*Sn - n^2 - n,[1, 1]
A000266,-Sn^3 + (n + 3)*Sn^2 + (-n - 2)*Sn + n^2 + 3*n + 2,[1, 1, 1]
A000271,-Sn^3 + (n + 2)*Sn^2 + (n + 2)*Sn + 1,[1, 0, 0]
A000276,n*Sn^2 + (-2*n^2 - n + 1)*Sn + n^3 - n,[3, 20]
A000279,(-3*n^4 - 17*n^3 - 31*n^2 - 23*n - 6)*Sn^2 + (21*n^4 + 119*n^3 + 240*n^2 + 196*n + 48)*Sn + 24*n^4 + 136*n^3 + 280*n^2 + 248*n + 80,[3, 24]
A000285,-Sn^2 + Sn + 1,[1, 4]
A000287,(-2*n - 6)*Sn^4 + (3*n - 9)*Sn^3 + (16*n - 8)*Sn^2 + (15*n - 3)*Sn + 4*n + 2,[1, 0, 4, 6]
A000288,-Sn^4 + Sn^3 + Sn^2 + Sn + 1,[1, 1, 1, 1]
A000302,-Sn + 4,[1]
A000309,(-2*n^2 - 7*n - 6)*Sn + 27*n^2 + 27*n + 6,[1]
A000321,Sn^2 + Sn + 2*n + 2,[1, -1]
A000322,-Sn^5 + Sn^4 + Sn^3 + Sn^2 + Sn + 1,[1, 1, 1, 1, 1]
A000337,(n + 1)*Sn^2 + (-3*n - 5)*Sn + 2*n + 4,[0, 1]
A000340,(n + 2)*Sn^2 + (-4*n - 9)*Sn + 3*n + 9,[1, 5]
A000344,(-n^2 - 3*n + 4)*Sn + 4*n^2 + 6*n + 2,[1]
A000346,(n + 3)*Sn^2 + (-8*n - 18)*Sn + 16*n + 24,[1, 5]
A000351,-Sn + 5,[1]
A000352,Sn^4 - 7*Sn^3 + 17*Sn^2 - 17*Sn + 6,[5, 29, 118, 418]
A000354,-Sn^2 + (2*n + 3)*Sn + 2*n + 2,[1, 1]
A000356,(-n^2 - 5*n - 6)*Sn + 16*n^2 + 32*n + 12,[1]
A000363,Sn^6 - 14*Sn^5 + 75*Sn^4 - 196*Sn^3 + 263*Sn^2 - 174*Sn + 45,[5, 61, 479, 3111, 18270, 101166]
A000365,(32*n^4 - 20*n^3 - 29*n^2 + 17*n)*Sn^2 + (-256*n^4 - 416*n^3 + 448*n^2 + 386*n - 162)*Sn + 512*n^4 + 1984*n^3 + 2512*n^2 + 1256*n + 216,[5, 93]
A000381,-Sn^3 + 2*Sn^2 - 1,[2, 3, 4]
A000382,-Sn^5 + 2*Sn^4 - Sn,[6, 11, 20, 36, 65]
A000383,-Sn^6 + Sn^5 + Sn^4 + Sn^3 + Sn^2 + Sn + 1,[1, 1, 1, 1, 1, 1]
A000392,-Sn^4 + 6*Sn^3 - 11*Sn^2 + 6*Sn,[0, 0, 0, 1]
A000400,-Sn + 6,[1]
A000407,-Sn + 4*n + 6,[1]
A000420,-Sn + 7,[1]
A000425,(-n^2 - 2*n)*Sn^3 + (n^3 + 4*n^2 + 3*n)*Sn^2 + (n^3 + 5*n^2 + 6*n)*Sn + n^2 + 5*n + 6,[2, 0, 0]
A000426,-2*Sn^5 + (2*n + 3)*Sn^4 + (5*n + 9)*Sn^3 + (5*n + 6)*Sn^2 + (2*n + 3)*Sn + 2,[0, 1, 1, 1, 8]
A000439,(-n^4 - 18*n^3 - 83*n^2 - 114*n)*Sn + n^4 + 22*n^3 + 143*n^2 + 338*n + 216,[9]
A000442,-Sn + n^3 + 3*n^2 + 3*n + 1,[1]
A000449,(-n + 1)*Sn^2 + (n^2 - 4)*Sn + n^2 + 3*n + 2,[1, 0]
A000453,Sn^4 - 10*Sn^3 + 35*Sn^2 - 50*Sn + 24,[1, 10, 65, 350]
A000457,(-n - 1)*Sn + 2*n^2 + 9*n + 10,[1]
A000460,Sn^6 - 10*Sn^5 + 40*Sn^4 - 82*Sn^3 + 91*Sn^2 - 52*Sn + 12,[1, 11, 66, 302, 1191, 4293]
A000463,-Sn^6 + 3*Sn^4 - 3*Sn^2 + 1,[1, 1, 2, 4, 3, 9]
A000466,(-2*n + 1)*Sn + 2*n + 3,[-1]
A000473,(-1705*n^3 + 2847*n^2 - 1142*n)*Sn^3 + (14684*n^3 + 24828*n^2 - 52208*n + 12696)*Sn^2 + (-35632*n^3 - 162000*n^2 - 207164*n - 90696)*Sn + 16704*n^3 + 68544*n^2 + 73584*n + 21744,[14, 386, 5868]
A000475,(-n + 2)*Sn^2 + (n^2 - n - 6)*Sn + n^2 + 3*n + 2,[1, 0]
A000478,Sn^6 - 10*Sn^5 + 40*Sn^4 - 82*Sn^3 + 91*Sn^2 - 52*Sn + 12,[15, 105, 490, 1918, 6825, 22935]
A000481,-Sn^5 + 15*Sn^4 - 85*Sn^3 + 225*Sn^2 - 274*Sn + 120,[1, 15, 140, 1050, 6951]
A000486,Sn^6 - 13*Sn^5 + 67*Sn^4 - 175*Sn^3 + 244*Sn^2 - 172*Sn + 48,[16, 150, 926, 4788, 22548, 100530]
A000487,Sn^6 - 20*Sn^5 + 160*Sn^4 - 656*Sn^3 + 1456*Sn^2 - 1664*Sn + 768,[16, 272, 2880, 24576, 185856, 1304832]
A000496,-Sn^9 + 2*Sn^8 - Sn^5,[1, 1, 2, 6, 24, 44, 80, 144, 260]
A000497,(-2*n^2 - n)*Sn + 4*n^3 + 20*n^2 + 33*n + 18,[1]
A000502,(-2173*n^3 + 10203*n^2 - 15398*n + 7368)*Sn^3 + (18188*n^3 + 7212*n^2 - 167522*n + 160692)*Sn^2 + (-41200*n^3 - 216144*n^2 - 169604*n + 151668)*Sn + 12864*n^3 + 96192*n^2 + 179376*n + 96048,[42, 1586, 31388]
A000504,(-10*n^3 - 15*n^2 - 2*n)*Sn + 20*n^4 + 160*n^3 + 469*n^2 + 593*n + 270,[1]
A000515,(-n^2 - 2*n - 1)*Sn + 16*n^2 + 32*n + 12,[1]
A000522,-Sn^2 + (n + 3)*Sn - n - 1,[1, 2]
A000529,(-n^5 - 30*n^4 - 275*n^3 - 990*n^2 - 1104*n)*Sn + n^5 + 35*n^4 + 405*n^3 + 2005*n^2 + 4034*n + 2400,[20]
A000531,(n + 2)*Sn^2 + (-8*n - 14)*Sn + 16*n + 24,[1, 7]
A000536,(-n + 2)*Sn^2 + (n^2 + n - 2)*Sn + n^2 + 3*n + 2,[24, 240]
A000543,(6197*n^2 + 56928*n + 32767)*Sn^3 + (284733*n^2 - 397434*n - 325296)*Sn^2 + (-284733*n^2 - 2105832*n - 3429603)*Sn - 6197*n^2 + 19746*n + 82244,[0, 1, 23]
A000554,(n^2 - n)*Sn^2 + (-3*n^2 - 3*n + 6)*Sn + 2*n^2 + 6*n + 4,[12, 60]
A000561,(-9*n^3 + 45*n^2 - 58*n)*Sn + 9*n^3 - 18*n^2 - 5*n + 22,[6]
A000563,(-81*n^5 + 1350*n^4 - 8595*n^3 + 24870*n^2 - 27704*n)*Sn + 81*n^5 - 945*n^4 + 4005*n^3 - 6375*n^2 - 1246*n + 10160,[13]
A000565,(-243*n^7 + 8505*n^6 - 125685*n^5 + 1005795*n^4 - 4606392*n^3 + 11470340*n^2 - 12154480*n)*Sn + 243*n^7 - 6804*n^6 + 79758*n^5 - 496440*n^4 + 1678467*n^3 - 2551556*n^2 - 411108*n + 4402160,[31]
A000570,-Sn^5 + Sn^4 + Sn^2 + Sn + 1,[1, 1, 2, 4, 7]
A000574,(-n^2 - 10*n + 24)*Sn + n^2 + 15*n + 26,[3]
A000575,(-n^4 - 43*n^3 - 719*n^2 - 5717*n - 5040)*Sn + n^4 + 52*n^3 + 1079*n^2 + 11108*n + 40320,[10]
A000580,(-n + 6)*Sn + n + 1,[1]
A000581,(-n + 7)*Sn + n + 1,[1]
A000582,(-n + 8)*Sn + n + 1,[1]
A000589,(-n^2 - 3*n + 28)*Sn + 4*n^2 + 6*n + 2,[1]
A000590,(-n^2 - 3*n + 40)*Sn + 4*n^2 + 6*n + 2,[1]
A000596,(-10*n^3 + 33*n^2 - 23*n - 6)*Sn + 10*n^3 + 27*n^2 + 23*n + 6,[4]
A000597,(-70*n^4 + 343*n^3 - 302*n^2 - 271*n - 60)*Sn + 70*n^4 + 287*n^3 + 428*n^2 + 271*n + 60,[36]
A000601,(-n - 4)*Sn^4 + (-n - 1)*Sn^3 + 6*Sn^2 + (n + 10)*Sn + n + 7,[1, 2, 4, 7]
A000680,-Sn + 2*n^2 + 3*n + 1,[1]
A000681,2*Sn^2 + (-2*n^2 - 8*n - 8)*Sn + n^3 + 4*n^2 + 5*n + 2,[1, 1]
A000689,-Sn^4 + Sn^3 - Sn^2 + Sn,[1, 2, 4, 8]
A000704,-Sn^5 + 3*Sn^4 - 3*Sn^3 + Sn^2 + (n^2 + 6*n + 8)*Sn - n^2 - 3*n - 2,[1, 1, 1, 1, 4]
A000748,Sn^2 + 3*Sn + 3,[1, -3]
A000749,-Sn^4 + 4*Sn^3 - 6*Sn^2 + 4*Sn,[0, 0, 0, 1]
A000750,Sn^4 + 5*Sn^3 + 10*Sn^2 + 10*Sn + 5,[1, -5, 15, -35]
A000757,-Sn^3 + n*Sn^2 + (2*n + 2)*Sn + n + 1,[1, 0, 0]
A000770,Sn^6 - 21*Sn^5 + 175*Sn^4 - 735*Sn^3 + 1624*Sn^2 - 1764*Sn + 720,[1, 21, 266, 2646, 22827, 179487]
A000771,-Sn^7 + 28*Sn^6 - 322*Sn^5 + 1960*Sn^4 - 6769*Sn^3 + 13132*Sn^2 - 13068*Sn + 5040,[1, 28, 462, 5880, 63987, 627396, 5715424]
A000773,Sn^4 - Sn^3 - 5*Sn^2 + 3*Sn + 6,[0, 0, 0, 1]
A000774,-Sn^2 + (2*n + 3)*Sn - n^2 - 2*n - 1,[1, 2]
A000775,(n + 3)*Sn^2 + (-2*n^2 - 10*n - 10)*Sn + n^3 + 6*n^2 + 9*n + 4,[1, 4]
A000776,-Sn^2 + (2*n + 3)*Sn - n^2 - 2*n - 1,[1, 3]
A000777,(-3*n^3 - 19*n^2 - 32*n - 6)*Sn^2 + (15*n^3 + 89*n^2 + 124*n + 36)*Sn - 12*n^3 - 70*n^2 - 92*n - 30,[1, 2]
A000778,(-5*n^3 - 29*n^2 - 38*n - 8)*Sn^2 + (25*n^3 + 115*n^2 + 140*n + 40)*Sn - 20*n^3 - 86*n^2 - 102*n - 32,[1, 2]
A000779,Sn^2 + (-4*n - 3)*Sn + 4*n^2 + 2*n,[1, 4]
A000780,(-n^2 - 3*n + 2)*Sn + n^3 + 5*n^2 + 2*n,[1]
A000781,(-11*n^3 - 26*n^2 + 19*n - 6)*Sn^2 + (55*n^3 + 64*n^2 - 25*n - 6)*Sn - 44*n^3 - 38*n^2 + 6*n + 12,[1, 4]
A000782,(-7*n^2 - 9*n + 10)*Sn + 28*n^2 - 6*n - 4,[1]
A000803,-Sn^4 + 2*Sn^3 - 1,[0, 0, 8, 4]
A000806,-Sn^2 + (-2*n - 3)*Sn + 1,[1, 0]
A000846,(-44*n^5 - 242*n^4 - 492*n^3 - 454*n^2 - 184*n - 24)*Sn^2 + (473*n^5 + 2365*n^4 + 4453*n^3 + 3899*n^2 + 1554*n + 216)*Sn - 1188*n^5 - 5346*n^4 - 8796*n^3 - 6594*n^2 - 2268*n - 288,[0, 1]
A000888,(-n^2 - 3*n - 2)*Sn + 16*n^2 + 16*n + 4,[1]
A000891,(-n^2 - 4*n - 4)*Sn + 16*n^2 + 32*n + 12,[1]
A000894,(-n^2 - 3*n - 2)*Sn + 16*n^2 + 32*n + 12,[1]
A000897,(-n^2 - 2*n - 1)*Sn + 64*n^2 + 64*n + 12,[1]
A000898,-Sn^2 + 2*Sn + 2*n + 2,[1, 2]
A000904,-Sn^3 + (n + 4)*Sn^2 + (n + 5)*Sn + 1,[0, 3, 13]
A000906,(-n - 1)*Sn + 2*n^2 + 9*n + 10,[2]
A000907,(-4*n^2 - 5*n)*Sn + 8*n^3 + 46*n^2 + 87*n + 54,[6]
A000909,-Sn + 16*n^2 + 32*n + 12,[1]
A000911,(-n - 1)*Sn + 4*n + 10,[6]
A000912,(n^4 + 9*n^3 + 27*n^2 + 31*n + 12)*Sn^3 + (-4*n^4 - 30*n^3 - 78*n^2 - 80*n - 24)*Sn^2 + (-4*n^4 - 24*n^3 - 48*n^2 - 40*n - 12)*Sn + 16*n^4 + 72*n^3 + 96*n^2 + 32*n,[1, 0, 2]
A000915,(-15*n^4 - 150*n^3 - 485*n^2 - 502*n)*Sn + 15*n^4 + 270*n^3 + 1805*n^2 + 5302*n + 5760,[24]
A000917,(-n^2 - 4*n - 3)*Sn + 4*n^2 + 18*n + 20,[3]
A000918,Sn^2 - 3*Sn + 2,[-1, 0]
A000919,Sn^4 - 10*Sn^3 + 35*Sn^2 - 50*Sn + 24,[0, 0, 0, 24]
A000930,-Sn^3 + Sn^2 + 1,[1, 1, 1]
A000931,-Sn^3 + Sn + 1,[1, 0, 0]
A000932,-Sn^2 + Sn + n + 2,[1, 1]
A000958,(-10*n^2 - 38*n - 24)*Sn^2 + (35*n^2 + 73*n + 24)*Sn + 20*n^2 + 46*n + 18,[1, 1]
A000962,-Sn^6 + 7*Sn^4 - 3*Sn^2 + 1,[1, 0, 0, 1, 2, 5]
A000963,-Sn^6 + 7*Sn^4 - 3*Sn^2 + 1,[0, 1, 0, 3, 7, 16]
A000964,-Sn^6 + 7*Sn^4 - 3*Sn^2 + 1,[0, 0, 1, 1, 4, 8]
A000969,-Sn^5 + 2*Sn^4 - Sn^3 + Sn^2 - 2*Sn + 1,[1, 3, 7, 12, 18]
A000970,-Sn^9 + 4*Sn^8 - 6*Sn^7 + 4*Sn^6 - Sn^5 + Sn^4 - 4*Sn^3 + 6*Sn^2 - 4*Sn + 1,[1, 7, 25, 66, 143, 273, 476, 775, 1197]
A000971,-Sn^12 + 6*Sn^11 - 15*Sn^10 + 19*Sn^9 - 9*Sn^8 - 9*Sn^7 + 18*Sn^6 - 9*Sn^5 - 9*Sn^4 + 19*Sn^3 - 15*Sn^2 + 6*Sn - 1,[1, 9, 42, 132, 334, 728, 1428, 2584, 4389, 7084, 10963, 16380]
A000973,(-2*n^2 + 27*n - 91)*Sn + 2*n^2 - 13*n + 21,[1]
A000975,Sn^3 - 2*Sn^2 - Sn + 2,[0, 1, 2]
A000982,-Sn^4 + 2*Sn^3 - 2*Sn + 1,[0, 1, 2, 5]
A000984,(-n - 1)*Sn + 4*n + 2,[1]
A000993,Sn^8 - 10*Sn^7 - 30*Sn^6 + 300*Sn^5 + 129*Sn^4 - 1290*Sn^3 - 100*Sn^2 + 1000*Sn,[1, 6, 22, 159, 1044, 9121, 78132, 748719]
A001002,(5*n^2 + 25*n + 30)*Sn^2 + (-22*n^2 - 77*n - 66)*Sn - 27*n^2 - 54*n - 24,[1, 1]
A001003,(-n - 3)*Sn^2 + (6*n + 9)*Sn - n,[1, 1]
A001005,(-104*n^3 - 1200*n^2 - 4558*n - 5688)*Sn^3 + (-26*n^3 - 261*n^2 - 829*n - 822)*Sn^2 + (468*n^3 + 3996*n^2 + 10938*n + 9636)*Sn + 806*n^3 + 5673*n^2 + 11377*n + 6510,[1, 0, 1]
A001006,(-n - 4)*Sn^2 + (2*n + 5)*Sn + 3*n + 3,[1, 1]
A001016,(-103*n^2 - 288*n - 207)*Sn^3 + (729*n^2 + 486*n + 5346)*Sn^2 + (-729*n^2 - 3888*n - 10449)*Sn + 103*n^2 + 330*n + 270,[0, 1, 256]
A001018,-Sn + 8,[1]
A001019,-Sn + 9,[1]
A001020,-Sn + 11,[1]
A001021,-Sn + 12,[1]
A001022,-Sn + 13,[1]
A001023,-Sn + 14,[1]
A001024,-Sn + 15,[1]
A001025,-Sn + 16,[1]
A001026,-Sn + 17,[1]
A001027,-Sn + 18,[1]
A001029,-Sn + 19,[1]
A001040,-Sn^2 + (n + 1)*Sn + 1,[0, 1]
A001044,-Sn + n^2 + 2*n + 1,[1]
A001045,-Sn^2 + Sn + 2,[0, 1]
A001046,-2*Sn^2 + (n^2 + 3*n + 2)*Sn + 2,[1, 1]
A001047,Sn^2 - 5*Sn + 6,[0, 1]
A001048,(-n - 1)*Sn + n^2 + 2*n,[2]
A001052,-2*Sn^2 + (n^2 + 3*n + 2)*Sn + 2,[1, 2]
A001053,-Sn^2 + (n + 1)*Sn + 1,[1, 0]
A001057,(-n - 1)*Sn^2 - Sn + n + 2,[0, 1]
A001060,-Sn^2 + Sn + 1,[2, 5]
A001068,-Sn^5 + Sn^4 + Sn - 1,[0, 1, 2, 3, 5]
A001075,-Sn^2 + 4*Sn - 1,[1, 2]
A001076,-Sn^2 + 4*Sn + 1,[0, 1]
A001077,-Sn^2 + 4*Sn + 1,[1, 2]
A001078,-Sn^2 + 10*Sn - 1,[0, 2]
A001079,-Sn^2 + 10*Sn - 1,[1, 5]
A001080,-Sn^2 + 16*Sn - 1,[0, 3]
A001081,-Sn^2 + 16*Sn - 1,[1, 8]
A001082,n*Sn^3 - n*Sn^2 + (-n - 2)*Sn + n + 2,[0, 1, 5]
A001084,-Sn^2 + 20*Sn - 1,[0, 3]
A001085,-Sn^2 + 20*Sn - 1,[1, 10]
A001090,-Sn^2 + 8*Sn - 1,[0, 1]
A001091,-Sn^2 + 8*Sn - 1,[1, 4]
A001108,-Sn^3 + 7*Sn^2 - 7*Sn + 1,[0, 1, 8]
A001109,-Sn^2 + 6*Sn - 1,[0, 1]
A001110,-Sn^3 + 35*Sn^2 - 35*Sn + 1,[0, 1, 36]
A001117,-Sn^3 + 6*Sn^2 - 11*Sn + 6,[1, 0, 0]
A001120,-Sn^2 + (n + 1)*Sn + n + 1,[1, 3]
A001147,-Sn + 2*n + 1,[1]
A001148,-Sn^3 + Sn^2 - Sn + 1,[1, 3, 9]
A001169,-Sn^4 + 5*Sn^3 - 7*Sn^2 + 4*Sn,[1, 2, 6, 19]
A001181,(n^2 + 9*n + 20)*Sn^2 + (-7*n^2 - 35*n - 40)*Sn - 8*n^2 - 8*n,[0, 1]
A001189,-Sn^4 + 3*Sn^3 + n*Sn^2 + (-2*n - 3)*Sn + n + 1,[0, 1, 3, 9]
A001193,(-n - 1)*Sn + 2*n^2 + 5*n + 2,[1]
A001194,(-n + 1)*Sn + 2*n^2 - n - 3,[3]
A001204,-Sn^11 + 2*Sn^6 - Sn,[7, 2, 1, 1, 3, 18, 5, 1, 1, 6, 30]
A001205,-2*Sn^3 + (2*n + 4)*Sn^2 + n^2 + 3*n + 2,[1, 0, 0]
A001224,-Sn^6 + Sn^5 + 2*Sn^4 - Sn^3 - Sn - 1,[1, 2, 2, 4, 5, 9]
A001240,-Sn^3 + 11*Sn^2 - 36*Sn + 36,[1, 11, 85]
A001241,Sn^4 - 50*Sn^3 + 840*Sn^2 - 5760*Sn + 13824,[1, 50, 1660, 46760]
A001242,-Sn^5 + 274*Sn^4 - 27000*Sn^3 + 1224000*Sn^2 - 25920000*Sn + 207360000,[1, 274, 48076, 6998824, 929081776]
A001246,(-n^2 - 4*n - 4)*Sn + 16*n^2 + 16*n + 4,[1]
A001249,(-n^2 - 2*n - 1)*Sn + n^2 + 8*n + 16,[1]
A001254,-Sn^3 + 2*Sn^2 + 2*Sn - 1,[4, 1, 9]
A001264,-Sn^7 + Sn^6 - Sn^2 + Sn,[1, 4, 16, 64, 56, 24, 96]
A001266,-Sn^4 + (n + 5)*Sn^3 + (-n - 2)*Sn^2 + (-n + 1)*Sn + n + 1,[0, 0, 1, 7]
A001277,Sn^3 + (-n - 3)*Sn^2 + n + 2,[1, 3, 12]
A001278,Sn^6 + (-n - 9)*Sn^5 + (3*n + 12)*Sn^4 + (2*n + 10)*Sn^3 + (-6*n - 19)*Sn^2 + (-n - 1)*Sn + 3*n + 6,[1, 11, 87, 693, 5934, 55674]
A001281,-Sn^4 + 2*Sn^2 - 1,[0, 2, 1, 8]
A001286,(-n + 1)*Sn + n^2 + n,[1]
A001287,(-n + 9)*Sn + n + 1,[1]
A001288,(-n + 10)*Sn + n + 1,[1]
A001303,(-n^2 - 2*n)*Sn + n^2 + 8*n + 16,[6]
A001304,-Sn^9 + 2*Sn^8 - 2*Sn^6 + Sn^5 + Sn^4 - 2*Sn^3 + 2*Sn - 1,[1, 2, 4, 6, 9, 13, 18, 24, 31]
A001311,-Sn^7 + Sn^2,[1, 6, 36, 16, 96, 76, 56]
A001318,(n + 1)*Sn^3 + (-n - 1)*Sn^2 + (-n - 3)*Sn + n + 3,[0, 1, 2]
A001333,-Sn^2 + 2*Sn + 1,[1, 1]
A001338,-Sn^4 + (n + 5)*Sn^3 + (-2*n - 6)*Sn^2 + (n + 2)*Sn,[1, 0, 2, 7]
A001339,-Sn^2 + (n + 4)*Sn - n - 1,[1, 3]
A001340,-Sn^2 + (n + 5)*Sn - n - 1,[2, 8]
A001341,-Sn^2 + (n + 6)*Sn - n - 1,[6, 30]
A001342,-Sn^2 + (n + 7)*Sn - n - 1,[24, 144]
A001350,-Sn^4 + Sn^3 + 2*Sn^2 - Sn - 1,[0, 1, 1, 4]
A001351,-Sn^6 + Sn^5 - Sn^4 + 3*Sn^3 - Sn^2 + Sn - 1,[0, 1, 3, 1, 3, 11]
A001353,-Sn^2 + 4*Sn - 1,[0, 1]
A001360,-Sn^3 + 4*Sn^2 - 4*Sn + 1,[1, 8, 29]
A001361,(282704728*n^2 + 339873675*n + 57555197)*Sn^3 + (573254670*n^2 - 2675313315*n - 6264819585)*Sn^2 + (-1065648924*n^2 - 5375789313*n - 23668681131)*Sn + 209689526*n^2 + 279432153*n + 162197839,[1, 241, 26641]
A001392,(-n^2 - 3*n + 18)*Sn + 4*n^2 + 6*n + 2,[1]
A001399,-Sn^6 + Sn^5 + Sn^4 - Sn^2 - Sn + 1,[1, 1, 2, 3, 4, 5]
A001400,(-n - 6)*Sn^6 + (-n - 4)*Sn^5 - n*Sn^4 + 8*Sn^3 + (n + 16)*Sn^2 + (n + 12)*Sn + n + 10,[1, 1, 2, 3, 5, 6]
A001405,(-n - 3)*Sn^2 + 2*Sn + 4*n + 4,[1, 1]
A001421,(-n^3 - 3*n^2 - 3*n - 1)*Sn + 1728*n^3 + 2592*n^2 + 1104*n + 120,[1]
A001444,Sn^3 - 3*Sn^2 - 3*Sn + 9,[1, 2, 6]
A001445,Sn^3 - 2*Sn^2 - 2*Sn + 4,[3, 5, 10]
A001446,Sn^3 - 4*Sn^2 - 4*Sn + 16,[10, 34, 136]
